Timestamp,Problem,Search,Heuristic,Plan length,Time elapsed,Expansions,Goal tests,New nodes
10:12:2017 11:41:03,Air Cargo Problem 3,breadth_first_search,,12,218.86796649701137,14663,18098,129631
10:12:2017 11:41:09,Air Cargo Problem 3,depth_first_graph_search,,571,6.586911924008746,592,593,4927
10:12:2017 15:30:38,Air Cargo Problem 3,uniform_cost_search,,12,126.59483104600804,18223,18225,159618
10:12:2017 15:31:17,Air Cargo Problem 3,greedy_best_first_graph_search, with h_1,22,39.15256927799783,5578,5580,49150
10:12:2017 15:33:22,Air Cargo Problem 3,astar_search, with h_1,12,125.43834328900266,18223,18225,159618
10:12:2017 15:34:02,Air Cargo Problem 3,astar_search, with h_ignore_preconditions,12,39.732635488995584,5040,5042,44944
10:12:2017 15:36:08,Air Cargo Problem 3,astar_search, with h_pg_levelsum,14,126.06973694798944,14,16,120
12:12:2017 20:32:08,Air Cargo Problem 1,astar_search, with h_ignore_preconditions,6,0.0853988050002954,41,43,170
12:12:2017 20:32:32,Air Cargo Problem 1,breadth_first_search,,6,0.07149197700164223,43,56,180
12:12:2017 20:32:37,Air Cargo Problem 1,breadth_first_tree_search,,6,2.1169302010002866,1458,1459,5960
12:12:2017 20:32:44,Air Cargo Problem 1,breadth_first_search,,6,0.0703038519986876,43,56,180
12:12:2017 20:32:49,Air Cargo Problem 1,breadth_first_tree_search,,6,2.006112708000728,1458,1459,5960
12:12:2017 20:32:57,Air Cargo Problem 1,depth_first_graph_search,,12,0.020731796999825747,12,13,48
12:12:2017 20:33:00,Air Cargo Problem 1,depth_limited_search,,50,0.1916223970001738,101,271,414
12:12:2017 20:35:14,Air Cargo Problem 1,astar_search, with h_ignore_preconditions,6,0.0857285869988118,41,43,170
12:12:2017 20:38:01,Air Cargo Problem 2,astar_search, with h_ignore_preconditions,9,9.793711641999835,1450,1452,13303
12:12:2017 20:39:31,Air Cargo Problem 3,astar_search, with h_ignore_preconditions,12,40.42910747099995,5040,5042,44944
