Timestamp,Problem,Search,Heuristic,Plan length,Time elapsed,Expansions,Goal tests,New nodes
09:12:2017 12:48:04,Air Cargo Problem 1,breadth_first_search,,6,0.0700058810034534,43,56,180
09:12:2017 12:48:06,Air Cargo Problem 1,breadth_first_tree_search,,6,2.183948677004082,1458,1459,5960
09:12:2017 12:48:06,Air Cargo Problem 1,depth_first_graph_search,,12,0.021490187995368615,12,13,48
09:12:2017 12:48:07,Air Cargo Problem 1,depth_limited_search,,50,0.2004913979981211,101,271,414
09:12:2017 12:48:07,Air Cargo Problem 1,uniform_cost_search,,6,0.08902502800629009,55,57,224
09:12:2017 12:48:13,Air Cargo Problem 1,recursive_best_first_search, with h_1,6,6.200788697002281,4229,4230,17029
09:12:2017 12:48:13,Air Cargo Problem 1,greedy_best_first_graph_search, with h_1,6,0.010927925002761185,7,9,28
09:12:2017 12:48:13,Air Cargo Problem 1,astar_search, with h_1,6,0.08628951299760956,55,57,224
09:12:2017 12:48:13,Air Cargo Problem 1,astar_search, with h_ignore_preconditions,6,0.08130948600592092,41,43,170
09:12:2017 12:48:15,Air Cargo Problem 1,astar_search, with h_pg_levelsum,6,1.6713735930024995,6,8,28
09:12:2017 12:48:46,Air Cargo Problem 2,breadth_first_search,,9,31.105798489996232,3343,4609,30509
09:12:2017 17:55:14,Air Cargo Problem 1,breadth_first_search,,6,0.07185675199434627,43,56,180
09:12:2017 17:55:14,Air Cargo Problem 1,depth_first_graph_search,,12,0.021015605998400133,12,13,48
09:12:2017 17:55:15,Air Cargo Problem 1,depth_limited_search,,50,0.22603812400484458,101,271,414
09:12:2017 17:55:15,Air Cargo Problem 1,uniform_cost_search,,6,0.08362034399760887,55,57,224
09:12:2017 17:55:21,Air Cargo Problem 1,recursive_best_first_search, with h_1,6,6.238901696000539,4229,4230,17029
09:12:2017 17:55:21,Air Cargo Problem 1,greedy_best_first_graph_search, with h_1,6,0.014156354001897853,7,9,28
09:12:2017 17:55:21,Air Cargo Problem 1,astar_search, with h_1,6,0.08499515899893595,55,57,224
09:12:2017 17:55:21,Air Cargo Problem 1,astar_search, with h_ignore_preconditions,6,0.08284246000403073,41,43,170
09:12:2017 17:55:23,Air Cargo Problem 1,astar_search, with h_pg_levelsum,6,2.0780205109986127,6,8,28
09:12:2017 17:55:55,Air Cargo Problem 2,breadth_first_search,,9,31.995170639995195,3343,4609,30509
09:12:2017 17:56:27,Air Cargo Problem 2,depth_first_graph_search,,1444,31.26672449200123,1669,1670,14863
09:12:2017 18:29:50,Air Cargo Problem 2,depth_limited_search,,50,2003.4465979820015,222719,2053741,2054119
09:12:2017 18:30:17,Air Cargo Problem 2,uniform_cost_search,,9,26.802562281001883,4853,4855,44041
